id,created_at,updated_at,product_code,title,description,model_size,model_height,fabric_stretch,fabric_material,main_fiber_content,care_advice,care_instructions,price,markdown
216,2019-07-26 17:10:54.965286,2019-07-26 17:10:54.965286,1442319,ASOS DESIGN mini slubby cami swing dress with faux wood buttons,,Model wears: UK 8/ W26,Model's height:  173 cm/5'8,"",Non-stretch denim,Body: 100% Polyester.,structured cotton Body: 100% Cotton.,Body: 100% Cotton.,24.0,0.0
217,2019-07-26 17:10:54.968344,2019-07-26 17:10:54.968344,1419957,The North Face Class V Hike Short 2.0 in black,,Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Lightweight woven fabric,"",Body: 100% Polyester.,"",45.0,0.0
219,2019-07-26 17:10:54.974659,2019-07-26 17:10:54.974659,1452985,The North Face Shine On t-shirt in pink with pocket,,Model wears: UK 8/ EU 36/ US 4,Model's height: 173cm/5'8,"Thick, scuba-style fabric",Thick,"",Main: 94% Polyester  6% Spandex.,6% Spandex.,35.0,0.0
220,2019-07-26 17:10:54.977649,2019-07-26 17:10:54.977649,1495602,Pull&Bear belted cargo utility skirt in camel,,Model wears: UK S/ EU S/ US XS,Model's height:  170cm/5'7,Lightweight woven fabric,Lightweight woven fabric Drapes softly over the body,Main: 100% Cotton.,"","",32.0,0.0
221,2019-07-26 17:10:54.980808,2019-07-26 17:10:54.980808,1495621,ASOS DESIGN going out one shoulder bodycon mini dress,,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,Pure cotton,Pure cottonIt's light and breathable,"",Main: 100% Cotton.,"",16.0,0.0
222,2019-07-26 17:10:54.984075,2019-07-26 17:10:54.984075,1446063,Pull&Bear slim mom stretch jeans in dark blue,,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,Satin-style fabric,Satin-style fabricSilky and super smooth,"","","",32.0,0.0
223,2019-07-26 17:10:54.98769,2019-07-26 17:10:54.98769,1481044,ASOS DESIGN Tall one shoulder peplum top in snake print,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Cotton-rich woven fabric,"",Main: 57% Cotton  43% Viscose.,43% Viscose.,35.0,0.0
224,2019-07-26 17:10:54.990822,2019-07-26 17:10:54.990822,1454296,Simply Be lace Brazilian brief with blush underlay in black,,Model wears: UK 8/ EU 36/ US 4,Model's height:  173 cm/5'8,We partner with the Better Cotton Initiative to improve cotton farming globally,Non-stretch denim,"",Main: 100% Cotton.,"",23.0,0.0
225,2019-07-26 17:10:54.993886,2019-09-10 22:39:54.767531,1447066,The North Face Shine On t-shirt in pink with pocket,For your daytime thing,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Go-with-everything jersey. We partner with the Better Cotton Initiative to improve cotton farming globally. This makes it better for farmers and the environment. BCI provides farming-practice training. It promotes things like water efficiency and reducing the most harmful chemicals.,Main: 95% Polyester,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",32.0,0.0
226,2019-07-26 17:10:54.997084,2019-07-26 17:10:54.997084,1455747,Stradivarius palazzo pant in yellow,,Model wears: UK 8/ EU 36/ US 4,Model's height: 174cm/5'8.5,"",Lightweight woven fabric,Main: 85% Polyamide,Main: 100% Viscose.,"",30.0,0.0
